address,city,zip,bedrooms,bathrooms,floor_size,lot_size,year_built,sale_date,sale_price
 2804 Tangelo Ct, Pleasanton,94588,3,3,1614,"2,526 sqft",Built in 1998,04/23/18,1039000.0
 5650 Hansen Dr, Pleasanton,94566,4,2,1527,"6,699 sqft",Built in 1973,04/20/18,1200000.0
 592 Tawny Dr, Pleasanton,94566,3,2,1956,0.28 acres,Built in 1977,04/19/18,1150000.0
 2668 Calle Morelia, Pleasanton,94566,5,3,2422,"6,500 sqft",Built in 1984,04/18/18,1430000.0
 6048 Inglewood Dr, Pleasanton,94588,4,2,1733,"6,499 sqft",Built in 1968,04/18/18,1125000.0
 3884 Vineyard Ave, Pleasanton,94566,3,2,1652,"5,279 sqft",Built in 1952,04/18/18,940000.0
 6570 Arlington Dr, Pleasanton,94566,4,3,2652,"8,398 sqft",Built in 1967,04/17/18,1350000.0
 2730 Longspur Way, Pleasanton,94566,4,2,2172,"8,794 sqft",Built in 1972,04/17/18,1310000.0
 681 Norante Ct, Pleasanton,94566,5,6,6132,0.47 acres,Built in 2001,04/16/18,2900000.0
 4553 Carver Ct, Pleasanton,94588,4,2,1552,"6,250 sqft",Built in 1968,04/13/18,1120000.0
 4078 Cristobal Way, Pleasanton,94566,3,2,1159,"7,000 sqft",Built in 1965,04/12/18,969300.0
 1012 Shotwell Ct, Pleasanton,94566,6,7,7129,9.9 acres,Built in 2014,04/12/18,3495000.0
 7729 Olive Dr, Pleasanton,94588,4,3,2267,"6,216 sqft",Built in 1973,04/11/18,1260000.0
 1158 Baur Ct, Pleasanton,94566,4,5,3067,0.29 acres,Built in 2008,04/09/18,1800000.0
 3760 Trenery Dr, Pleasanton,94588,5,6,5197,0.92 acres,Built in 1997,04/09/18,2505000.0
 4802 Sutter Gate Ave, Pleasanton,94566,4,2,1815,"8,160 sqft",Built in 1976,04/09/18,1375000.0
 5689 San Jose Dr, Pleasanton,94566,5,3,3179,0.28 acres,Built in 1989,04/06/18,1710000.0
 6 Deer Oaks Dr, Pleasanton,94588,5,5,5137,0.61 acres,Built in 1988,04/05/18,2100000.0
 2550 Glen Isle Ave, Pleasanton,94588,4,3,2330,"4,286 sqft",Built in 1993,04/05/18,1050000.0
 2606 Sanderling Way, Pleasanton,94566,4,3,2704,"9,692 sqft",Built in 1975,04/05/18,1535000.0
 2506 Sanderling Dr, Pleasanton,94566,4,2,1933,"6,969 sqft",Built in 1969,04/05/18,1535000.0
 2504 Larrikeet Ct, Pleasanton,94566,4,2.5,2064,"8,474 sqft",Built in 1975,04/05/18,1200000.0
 6424 Randall Ct, Pleasanton,94566,4,3,2711,0.28 acres,Built in 1971,04/04/18,1450000.0
 5650 San Juan Way, Pleasanton,94566,4,2,2050,"7,056 sqft",Built in 1964,04/04/18,1300000.0
 3727 Platt Ct N, Pleasanton,94588,4,2,1626,"7,244 sqft",Built in 1969,04/04/18,1200000.0
 360 Abbie St, Pleasanton,94566,3,1,1062,"5,600 sqft",Built in 1943,04/04/18,560000.0
 3410 Cornerstone Ct, Pleasanton,94566,Studio,--,--,"6,627 sqft",,04/03/18,1309500.0
 9302 Benzon Dr, Pleasanton,94588,5,5,4000,0.45 acres,Built in 1997,04/03/18,2068000.0
 3881 Foothill Rd, Pleasanton,94588,5,3,4000,0.53 acres,Built in 1990,04/03/18,2089000.0
 583 Montori Ct, Pleasanton,94566,4,3,2296,0.42 acres,Built in 1995,04/02/18,1490000.0
 4866 Treewood Ct, Pleasanton,94588,3,3,1721,"8,842 sqft",Built in 1966,03/30/18,1181000.0
 3637 Touriga Dr, Pleasanton,94566,3,2,1323,"10,454 sqft",Built in 1971,03/30/18,1045000.0
 4248 Bevilacqua Ct, Pleasanton,94566,4,3,2379,"6,528 sqft",Built in 1968,03/30/18,1350000.0
 7857 Driftwood Way, Pleasanton,94588,6,3,2086,"6,577 sqft",Built in 1966,03/30/18,1155000.0
 4210 Remillard Ct, Pleasanton,94566,5,3,4281,0.62 acres,Built in 1991,03/30/18,2365000.0
 7492 Alder Ct, Pleasanton,94588,4,3,2444,"7,927 sqft",Built in 1975,03/30/18,1335000.0
 6232 Roslin Ct, Pleasanton,94588,3,2,1372,"6,200 sqft",Built in 1969,03/30/18,1031000.0
 590 Mission Dr, Pleasanton,94566,4,3,2209,"7,540 sqft",Built in 1971,03/30/18,1285000.0
 3546 Ballantyne Dr, Pleasanton,94588,5,3,2464,"7,039 sqft",Built in 1987,03/30/18,1260000.0
 5212 Ridgevale Way, Pleasanton,94566,4,3,2256,"7,202 sqft",Built in 1965,03/30/18,1000000.0
 3674 Touriga Dr, Pleasanton,94566,4,2,2149,0.25 acres,Built in 1971,03/30/18,1045000.0
 2915 Calle De La Mesa, Pleasanton,94566,4,3,1984,"5,183 sqft",Built in 1986,03/30/18,1190000.0
 7297 Valley Trails Dr, Pleasanton,94588,3,2,1296,"4,421 sqft",Built in 1989,03/29/18,960000.0
 789 View Dr, Pleasanton,94566,3,4,3000,0.39 acres,Built in 1969,03/29/18,1604000.0
 2175 Cameron Cir, Pleasanton,94588,5,4,3679,0.4 acres,Built in 2013,03/29/18,2140000.0
 6843 Corte De Flores, Pleasanton,94566,4,3,2221,"10,454 sqft",Built in 1986,03/29/18,1410000.0
 5397 Northway Rd, Pleasanton,94566,4,2,1882,"6,982 sqft",Built in 1966,03/29/18,1160000.0
 2642 Corte Vida, Pleasanton,94566,4,3,3398,0.29 acres,Built in 1980,03/29/18,1680000.0
 1280 Creek Trail Dr, Pleasanton,94566,4,3.5,3121,"7,003 sqft",Built in 2001,03/28/18,1630000.0
 1220 Bordeaux St, Pleasanton,94566,4,3,2106,0.36 acres,Built in 1976,03/28/18,1512000.0
 7965 Winged Foot Ct, Pleasanton,94588,3,3,2489,"6,490 sqft",Built in 1991,03/28/18,1350000.0
 1594 Chatham Pl, Pleasanton,94566,2,3,2372,"5,227 sqft",Built in 2012,03/28/18,1450000.0
 8052 Horizons Ct, Pleasanton,94588,5,5,7000,0.81 acres,Built in 2001,03/28/18,3325000.0
 1936 Brooktree Way, Pleasanton,94566,5,3,2530,"9,183 sqft",Built in 1965,03/27/18,1450000.0
 234 Del Valle Ct, Pleasanton,94566,4,3,1948,"4,146 sqft",Built in 1998,03/27/18,1140000.0
 3410 Cornerstone Ct, Pleasanton,94566,Studio,--,--,"4,028 sqft",,03/27/18,1202500.0
 5833 Hansen Dr, Pleasanton,94566,4,2,1527,"6,699 sqft",Built in 1973,03/26/18,1201000.0
 4953 Black Ave, Pleasanton,94566,5,4,2810,"8,102 sqft",Built in 1966,03/26/18,1473000.0
 4475 Shearwater Ct, Pleasanton,94566,4,2,1808,"6,825 sqft",Built in 1971,03/26/18,1203000.0
 4158 Rennellwood Way, Pleasanton,94566,3,2,1614,"3,484 sqft",Built in 1976,03/26/18,880000.0
 1811 Tanglewood Way, Pleasanton,94566,4,2.5,2087,"7,650 sqft",Built in 1966,03/23/18,1300000.0
 3690 Touriga Dr, Pleasanton,94566,4,2,1966,0.35 acres,Built in 1971,03/23/18,1135000.0
 7633 Chestnut Way, Pleasanton,94588,4,3,2342,"10,240 sqft",Built in 1975,03/23/18,725000.0
 3835 Promenade Way, Pleasanton,94566,3,2,1075,"4,970 sqft",Built in 1994,03/23/18,900000.0
 3410 Cornerstone Ct, Pleasanton,94566,Studio,--,--,"3,657 sqft",,03/23/18,1064500.0
 615 Romeo Ct, Pleasanton,94566,4,4,3901,1.02 acres,Built in 1988,03/22/18,1950000.0
 3440 Gravina Pl, Pleasanton,94566,4,3,2627,"8,712 sqft",Built in 1998,03/22/18,1769000.0
 3410 Cornerstone Ct, Pleasanton,94566,Studio,--,--,"3,885 sqft",,03/22/18,1200000.0
 672 Bonita Ave, Pleasanton,94566,3,2,1716,"9,021 sqft",Built in 1962,03/21/18,1040000.0
 3229 W Las Positas Blvd, Pleasanton,94588,4,3,1926,"5,196 sqft",Built in 1993,03/21/18,1235000.0
 3705 Ashwood Dr, Pleasanton,94588,4,2.5,1809,"9,783 sqft",Built in 1969,03/20/18,1052500.0
 308 Adams Way, Pleasanton,94566,2,1,1025,"6,500 sqft",Built in 1947,03/20/18,917000.0
 7336 Tulipwood Cir, Pleasanton,94588,4,2,2000,"6,534 sqft",Built in 1968,03/20/18,1050000.0
 8152 Canyon Creek Cir, Pleasanton,94588,4,3,2279,"4,300 sqft",Built in 1995,03/20/18,1075000.0
 8506 Lupine Ct, Pleasanton,94588,6,6,6100,1.18 acres,Built in 1996,03/19/18,2891500.0
 3410 Cornerstone Ct, Pleasanton,94566,Studio,--,--,"3,815 sqft",,03/16/18,1121500.0
 7355 Lemonwood Way, Pleasanton,94588,3,3,1667,"6,067 sqft",Built in 1986,03/16/18,1170000.0
 2126 Inverness Ct, Pleasanton,94588,4,3,3021,"5,662 sqft",Built in 1994,03/16/18,1435000.0
 3630 Bingham Ct, Pleasanton,94566,2,2,2090,"5,662 sqft",Built in 2011,03/16/18,1350000.0
 4100 Suffolk Way, Pleasanton,94588,4,3,1938,"6,969 sqft",Built in 1968,03/15/18,1140000.0
 4171 Stanley Blvd, Pleasanton,94566,Studio,--,--,"2,790 sqft",,03/15/18,1089000.0
 4170 Denker Dr, Pleasanton,94588,4,2,1928,"6,502 sqft",Built in 1975,03/14/18,1200000.0
 4370 Payne Rd, Pleasanton,94588,4,2,1489,"6,198 sqft",Built in 1973,03/14/18,925000.0
 2253 Via Espada, Pleasanton,94566,4,3,1950,"7,013 sqft",Built in 1971,03/14/18,1360000.0
 5555 Blackbird Dr, Pleasanton,94566,4,3,2128,"8,315 sqft",Built in 1973,03/13/18,1350000.0
 7734 Chestnut Way, Pleasanton,94588,5,3,2356,"8,197 sqft",Built in 1975,03/13/18,1275000.0
 3410 Cornerstone Ct, Pleasanton,94566,Studio,--,--,"3,867 sqft",,03/13/18,1221500.0
 2113 Alexander Way, Pleasanton,94588,2,3,1480,"3,641 sqft",Built in 1984,"$3,000  /mo",
 7865 Flagstone Dr, Pleasanton,94588,4,2,2201,"7,701 sqft",Built in 1968,03/12/18,1380000.0
 3316 Hartwell Ct, Pleasanton,94588,5,3,1944,"5,166 sqft",Built in 1993,03/09/18,1200000.0
 5038 Monaco Dr, Pleasanton,94566,4,3,3257,"9,740 sqft",Built in 1987,03/09/18,1700000.0
 4128 Pleasanton Ave, Pleasanton,94566,4,3,2634,"3,998 sqft",Built in 1997,03/09/18,1580000.0
 7702 Oak Creek Ct, Pleasanton,94588,5,3,2523,"6,359 sqft",Built in 1970,03/09/18,1381000.0
 4808 Ganner Ct, Pleasanton,94566,5,4,3150,"9,731 sqft",Built in 1971,03/09/18,1600000.0
 866 Sunset Creek Ln, Pleasanton,94566,6,5,4455,0.29 acres,Built in 2000,03/09/18,2167500.0
 7507 Driftwood Way, Pleasanton,94588,5,3,2098,"6,272 sqft",Built in 1966,03/08/18,1270000.0
 2846 Elsnab Ct, Pleasanton,94588,4,3,2489,"4,791 sqft",Built in 1996,03/08/18,1356000.0
 4270 Churchill Dr, Pleasanton,94588,4,2,2150,"8,619 sqft",Built in 1968,03/07/18,1150000.0
 4209 Brindisi Pl, Pleasanton,94566,5,4,4291,0.7 acres,Built in 2002,03/07/18,2050000.0
 1350 Bordeaux St, Pleasanton,94566,4,5,3396,0.39 acres,Built in 1992,03/07/18,487000.0
 6871 Singletree Ct, Pleasanton,94588,4,2,1489,"8,659 sqft",Built in 1971,03/06/18,765000.0
 4508 Alexander Valley Way, Dublin,94568,4,4,3627,None,Built in 2018,03/02/18,1308000.0
 4348 2nd St, Pleasanton,94566,4,2,1737,0.28 acres,Built in 1910,03/02/18,1530000.0
 4190 Crisfield Ln, Pleasanton,94566,4,2,1492,"6,908 sqft",Built in 1975,"$948,888",
 3589 Helen Dr, Pleasanton,94588,2,2,1076,"5,989 sqft",Built in 1988,03/02/18,840000.0
